pair_id,chr,geneA,startA,endA,strandA,geneB,startB,endB,strandB,distance,species,no. of effective observations,BDP activity,,species,
25,1,AT1G03260,795449,798491,-,AT1G03270,799115,802625,+,624,arabidopsis,22462,0.260732569,,,
26,1,AT1G03330,817934,819563,-,AT1G03340,819612,821476,+,49,arabidopsis,22779,0.010673718,,,
27,1,AT1G03350,822582,824410,-,AT1G03360,824517,826399,+,107,arabidopsis,24862,0.13101236,,,
28,1,AT1G03410,844436,847683,-,AT1G03430,847793,849621,+,110,arabidopsis,21291,0.197579204,,,
29,1,AT1G03475,868853,871308,-,AT1G03490,871874,872906,+,566,arabidopsis,1489,-0.331436523,,,
30,1,AT1G03530,880384,883599,-,AT1G03540,883683,885611,+,84,arabidopsis,23923,0.516440011,,,
31,1,AT1G03590,894238,897718,-,AT1G03600,898480,899794,+,762,arabidopsis,25251,-0.203250277,,,
32,1,AT1G03680,916772,918064,-,AT1G03687,918285,920592,+,221,arabidopsis,24615,-0.023803754,,,
33,1,AT1G03800,957104,958383,-,AT1G03810,958759,959609,+,376,arabidopsis,1374,0.042279917,,,
34,1,AT1G03950,1011151,1013365,-,AT1G03960,1013643,1017957,+,278,arabidopsis,24021,0.229082466,,,
35,1,AT1G04010,1030957,1036264,-,AT1G04020,1036493,1040262,+,229,arabidopsis,22586,0.309515745,,,
36,1,AT1G04070,1050505,1051194,-,AT1G04080,1051312,1056827,+,118,arabidopsis,25610,-0.033942588,,,
37,1,AT1G04190,1106354,1108725,-,AT1G04200,1109395,1114155,+,670,arabidopsis,25026,0.308359391,,,
38,1,AT1G04340,1162905,1164861,-,AT1G04350,1164910,1167135,+,49,arabidopsis,24805,-0.233978901,,,
39,1,AT1G04410,1188995,1191458,-,AT1G04420,1191519,1193884,+,61,arabidopsis,25663,0.143341068,,,
40,1,AT1G04530,1234176,1236206,-,AT1G04540,1236754,1239199,+,548,arabidopsis,24318,0.019182168,,,
41,1,AT1G04590,1258556,1261470,-,AT1G04600,1261762,1272588,+,292,arabidopsis,16712,0.003619152,,,
42,1,AT1G04630,1289734,1291112,-,AT1G04635,1291300,1292024,+,188,arabidopsis,24762,0.250764297,,,
43,1,AT1G04660,1300368,1301773,-,AT1G04670,1301829,1302758,+,56,arabidopsis,1781,0.383408504,,,
44,1,AT1G04750,1331466,1333651,-,AT1G04760,1334533,1336704,+,882,arabidopsis,21942,0.10820239,,,
45,1,AT1G04800,1348452,1349478,-,AT1G04810,1350080,1355466,+,602,arabidopsis,23357,-0.061869237,,,
46,1,AT1G04930,1396265,1399122,-,AT1G04945,1399174,1403112,+,52,arabidopsis,23685,0.47394261,,,
47,1,AT1G04960,1407772,1410933,-,AT1G04970,1411088,1413627,+,155,arabidopsis,25416,0.438915771,,,
48,1,AT1G05070,1457007,1458802,-,AT1G05080,1459091,1460579,+,289,arabidopsis,2142,-0.03294801,,,
49,1,AT1G05205,1509103,1510341,-,AT1G05210,1510404,1511683,+,63,arabidopsis,23101,0.605968936,,,
50,1,AT1G05310,1550503,1552587,-,AT1G05320,1553568,1557848,+,981,arabidopsis,20253,0.290773876,,,
51,1,AT1G05350,1560678,1564409,-,AT1G05360,1564491,1567508,+,82,arabidopsis,24722,0.453550621,,,
52,1,AT1G05385,1582671,1583760,-,AT1G05400,1584073,1585421,+,313,arabidopsis,20015,-0.335204869,,,
53,1,AT1G05580,1665356,1668924,-,AT1G05590,1669350,1671902,+,426,arabidopsis,3124,-0.033131055,,,
54,1,AT1G05770,1725388,1726321,-,AT1G05780,1726558,1728520,+,237,arabidopsis,18696,0.230137204,,,
55,1,AT1G05783,1728658,1729789,-,AT1G05785,1730242,1732657,+,453,arabidopsis,14876,0.089739627,,,
56,1,AT1G05850,1766503,1768837,-,AT1G05860,1768986,1771286,+,149,arabidopsis,25302,-0.267583914,,,
57,1,AT1G06000,1820308,1821894,-,AT1G06010,1822583,1824236,+,689,arabidopsis,22523,0.035833979,,,
58,1,AT1G06050,1830471,1832555,-,AT1G06060,1832941,1834861,+,386,arabidopsis,24844,0.289216857,,,
59,1,AT1G06110,1853059,1855378,-,AT1G06120,1855910,1857718,+,532,arabidopsis,9044,0.206290784,,,
60,1,AT1G06137,1863425,1863840,-,AT1G06140,1864774,1866999,+,934,arabidopsis,5806,0.2581139,,,
61,1,AT1G06200,1894289,1897027,-,AT1G06210,1897129,1899237,+,102,arabidopsis,25645,0.303892958,,,
62,1,AT1G06440,1963301,1965209,-,AT1G06450,1965840,1967219,+,631,arabidopsis,24393,0.42723367,,,
63,1,AT1G06460,1967087,1969656,-,AT1G06470,1969658,1974526,+,2,arabidopsis,25242,0.045780465,,,
64,1,AT1G06515,1990634,1992228,-,AT1G06510,1992229,1993841,+,1,arabidopsis,24746,0.129855416,,,
65,1,AT1G06550,2003627,2007212,-,AT1G06560,2007615,2012006,+,403,arabidopsis,24117,0.283494657,,,
66,1,AT1G06590,2016306,2024749,-,AT1G06620,2025544,2027413,+,795,arabidopsis,22750,0.1137265,,,
67,1,AT1G06720,2060444,2067483,-,AT1G06730,2067509,2070455,+,26,arabidopsis,24888,0.42073295,,,
68,1,AT1G06820,2092946,2096784,-,AT1G06830,2097106,2097655,+,322,arabidopsis,23901,0.219225535,,,
69,1,AT1G06900,2114765,2120745,-,AT1G06910,2120991,2123801,+,246,arabidopsis,23763,0.409061194,,,
70,1,AT1G06920,2124676,2125902,-,AT1G06923,2126670,2127570,+,768,arabidopsis,2968,0.038895658,,,
71,1,AT1G06950,2130053,2135703,-,AT1G06960,2135810,2137838,+,107,arabidopsis,25157,0.14699496,,,
72,1,AT1G07000,2150158,2152541,-,AT1G07010,2152798,2155269,+,257,arabidopsis,24205,-0.008253252,,,
73,1,AT1G07060,2166348,2168397,-,AT1G07070,2168561,2169957,+,164,arabidopsis,10067,0.049071766,,,
74,1,AT1G07160,2197854,2199773,-,AT1G07170,2199997,2201272,+,224,arabidopsis,16230,0.071776446,,,
75,1,AT1G07230,2220181,2223018,-,AT1G07240,2223625,2225524,+,607,arabidopsis,25819,0.317253907,,,
76,1,AT1G07310,2247112,2248961,-,AT1G07320,2248967,2250529,+,6,arabidopsis,26596,-0.111681761,,,
77,1,AT1G07360,2260317,2262923,-,AT1G07370,2263037,2264553,+,114,arabidopsis,23800,0.223723704,,,
78,1,AT1G07380,2264634,2269121,-,AT1G07390,2269622,2274901,+,501,arabidopsis,23526,0.191986945,,,
79,1,AT1G07450,2287926,2289336,-,AT1G07460,2289959,2291101,+,623,arabidopsis,2511,-0.14588183,,,
80,1,AT1G07473,2294566,2295489,-,AT1G07476,2295553,2296497,+,64,arabidopsis,6370,0.625727621,,,
81,1,AT1G07550,2322543,2326570,-,AT1G07560,2327315,2331148,+,745,arabidopsis,7909,0.760801314,,,
82,1,AT1G07645,2367437,2368436,-,AT1G07660,2368833,2369735,+,397,arabidopsis,4659,0.222412852,,,
83,1,AT1G07745,2400589,2402942,-,AT1G07747,2403558,2403845,+,616,arabidopsis,2049,0.006648597,,,
84,1,AT1G07780,2409865,2412777,-,AT1G07790,2412938,2413790,+,161,arabidopsis,23106,0.259531897,,,
85,1,AT1G07820,2421089,2422066,-,AT1G07830,2422126,2423803,+,60,arabidopsis,25257,0.480139107,,,
86,1,AT1G07885,2435858,2436861,-,AT1G07890,2437281,2439665,+,420,arabidopsis,11094,0.026934541,,,
87,1,AT1G07980,2473165,2475128,-,AT1G07985,2475226,2476167,+,98,arabidopsis,21051,0.205517395,,,
88,1,AT1G08270,2606269,2607507,-,AT1G08280,2607877,2609971,+,370,arabidopsis,24485,0.1662541,,,
89,1,AT1G08350,2632810,2635866,-,AT1G08360,2635939,2638004,+,73,arabidopsis,24562,-0.111896278,,,
90,1,AT1G08380,2640803,2641934,-,AT1G08390,2642072,2643285,+,138,arabidopsis,22664,0.288930384,,,
91,1,AT1G08400,2643019,2646048,-,AT1G08410,2646144,2649440,+,96,arabidopsis,24625,0.480669006,,,
92,1,AT1G08450,2667798,2671957,-,AT1G08460,2672198,2674721,+,241,arabidopsis,25448,0.110646725,,,
93,1,AT1G08470,2682058,2684171,-,AT1G08480,2684176,2685702,+,5,arabidopsis,24968,0.107235723,,,
94,1,AT1G08490,2685659,2688658,-,AT1G08500,2688880,2690250,+,222,arabidopsis,22740,-0.303133477,,,
95,1,AT1G08610,2733596,2735819,-,AT1G08620,2736656,2743881,+,837,arabidopsis,24651,0.186378696,,,
96,1,AT1G08670,2760183,2761599,-,AT1G08680,2762584,2768967,+,985,arabidopsis,11134,-0.009236326,,,
97,1,AT1G08700,2769615,2771477,-,AT1G08710,2771620,2773531,+,143,arabidopsis,24985,0.235977311,,,
98,1,AT1G08880,2846894,2848100,-,AT1G08890,2848149,2852270,+,49,arabidopsis,23811,-0.032618847,,,
99,1,AT1G09080,2929217,2931850,-,AT1G09090,2932739,2936586,+,889,arabidopsis,10132,-0.019333749,,,
100,1,AT1G09140,2942538,2945976,-,AT1G09150,2946030,2949159,+,54,arabidopsis,25406,0.060969399,,,
101,1,AT1G09400,3033512,3035396,-,AT1G09410,3035400,3037687,+,4,arabidopsis,17883,0.142393477,,,
102,1,AT1G09420,3038462,3041873,-,AT1G09430,3041996,3045541,+,123,arabidopsis,23797,0.068215838,,,
103,1,AT1G09440,3045259,3048006,-,AT1G09450,3048966,3053163,+,960,arabidopsis,19646,0.079792269,,,
104,1,AT1G09470,3055231,3057543,-,AT1G09480,3057975,3060757,+,432,arabidopsis,19644,-0.053841966,,,
105,1,AT1G09575,3101149,3103677,-,AT1G09580,3104492,3106366,+,815,arabidopsis,23269,0.112612416,,,
106,1,AT1G09700,3137649,3140353,-,AT1G09710,3140862,3144381,+,509,arabidopsis,24068,0.412158582,,,
107,1,AT1G09760,3159125,3161692,-,AT1G09770,3161832,3165616,+,140,arabidopsis,25647,0.12274326,,,
108,1,AT1G09790,3168434,3171018,-,AT1G09794,3171905,3173510,+,887,arabidopsis,4377,0.235377579,,,
109,1,AT1G09860,3204016,3205411,-,AT1G09870,3205579,3208714,+,168,arabidopsis,13537,-0.083197924,,,
110,1,AT1G09890,3214049,3217603,-,AT1G09900,3218133,3219929,+,530,arabidopsis,19307,0.07644419,,,
111,1,AT1G10000,3263850,3265176,-,AT1G10010,3265886,3268823,+,710,arabidopsis,2321,0.050444222,,,
112,1,AT1G10040,3275891,3278779,-,AT1G10050,3278792,3283631,+,13,arabidopsis,23238,0.466684019,,,
113,1,AT1G10200,3346383,3348139,-,AT1G10210,3349082,3351180,+,943,arabidopsis,24843,0.141690835,,,
114,1,AT1G10320,3384118,3388376,-,AT1G10330,3388599,3390150,+,223,arabidopsis,24069,0.091824284,,,
115,1,AT1G10430,3428478,3430924,-,AT1G10450,3431764,3438370,+,840,arabidopsis,24986,0.189516549,,,
116,1,AT1G10500,3460000,3461485,-,AT1G10510,3461635,3465786,+,150,arabidopsis,24841,0.170202805,,,
117,1,AT1G10590,3501988,3503544,-,AT1G10600,3503640,3506159,+,96,arabidopsis,25210,-0.102235885,,,
118,1,AT1G10800,3598069,3598885,-,AT1G10810,3599083,3600877,+,198,arabidopsis,18739,0.440434101,,,
119,1,AT1G10840,3607631,3610616,-,AT1G10850,3611490,3614613,+,874,arabidopsis,24563,0.101668147,,,
120,1,AT1G10880,3625623,3627082,-,AT1G10890,3627646,3630808,+,564,arabidopsis,1986,-0.22296326,,,
121,1,AT1G10940,3655673,3658612,-,AT1G10950,3659204,3664264,+,592,arabidopsis,26097,-0.097851079,,,
122,1,AT1G11000,3671756,3676133,-,AT1G11020,3676691,3678567,+,558,arabidopsis,23573,0.188696976,,,
123,1,AT1G11040,3678981,3681032,-,AT1G11050,3681679,3684169,+,647,arabidopsis,4331,-0.225489232,,,
124,1,AT1G11100,3703672,3709586,-,AT1G11110,3710208,3712503,+,622,arabidopsis,2457,0.255844938,,,
125,1,AT1G11190,3750066,3752780,-,AT1G11200,3753213,3755658,+,433,arabidopsis,21287,0.065364438,,,
126,1,AT1G11290,3791168,3794088,-,AT1G11300,3794243,3797507,+,155,arabidopsis,23113,0.110740939,,,
127,1,AT1G11390,3834432,3837676,-,AT1G11400,3837694,3841218,+,18,arabidopsis,24971,0.32295461,,,
128,1,AT1G11420,3844461,3846956,-,AT1G11430,3847220,3849224,+,264,arabidopsis,22591,-0.269098905,,,
129,1,AT1G11490,3868884,3870525,-,AT1G11500,3870679,3871702,+,154,arabidopsis,11516,0.435621584,,,
130,1,AT1G11630,3912754,3914465,-,AT1G11650,3914774,3918243,+,309,arabidopsis,25842,-0.33536181,,,
131,1,AT1G11684,3941103,3941459,-,AT1G11690,3941469,3942212,+,10,arabidopsis,2875,0.639541485,,,
132,1,AT1G11740,3963054,3966850,-,AT1G11750,3967476,3969877,+,626,arabidopsis,19621,-0.187566702,,,
133,1,AT1G11760,3971986,3973294,-,AT1G11765,3973874,3974594,+,580,arabidopsis,2907,0.005685172,,,
134,1,AT1G11785,3979823,3981079,-,AT1G11790,3981153,3985219,+,74,arabidopsis,11838,-0.23915904,,,
135,1,AT1G11880,4007705,4010461,-,AT1G11890,4010757,4013104,+,296,arabidopsis,23853,0.17505647,,,
136,1,AT1G11900,4013121,4014688,-,AT1G11905,4014782,4016544,+,94,arabidopsis,22390,0.235468215,,,
137,1,AT1G11910,4016712,4021043,-,AT1G11915,4021750,4023292,+,707,arabidopsis,18899,-0.213016167,,,
138,1,AT1G11960,4039566,4044046,-,AT1G11970,4044370,4044669,+,324,arabidopsis,1574,-0.100503322,,,
139,1,AT1G12120,4114674,4117614,-,AT1G12130,4118594,4120959,+,980,arabidopsis,8807,-0.306710282,,,
140,1,AT1G12150,4123530,4125651,-,AT1G12160,4125990,4128310,+,339,arabidopsis,15301,0.381554808,,,
141,1,AT1G12211,4140875,4144114,-,AT1G12220,4144257,4147939,+,143,arabidopsis,7620,0.149048742,,,
142,1,AT1G12300,4183010,4186247,-,AT1G12320,4186624,4190342,+,377,arabidopsis,23864,0.01124065,,,
143,1,AT1G12440,4241421,4243229,-,AT1G12450,4243904,4245993,+,675,arabidopsis,24437,-0.050264208,,,
144,1,AT1G12750,4344943,4348390,-,AT1G12760,4348498,4350993,+,108,arabidopsis,25168,0.144549825,,,
145,1,AT1G12850,4379694,4381764,-,AT1G12855,4382160,4383673,+,396,arabidopsis,12644,-0.091821203,,,
146,1,AT1G12870,4387129,4389110,-,AT1G12880,4389678,4391344,+,568,arabidopsis,2622,0.033643914,,,
147,1,AT1G13030,4444043,4447412,-,AT1G13040,4447549,4450001,+,137,arabidopsis,23248,0.612294715,,,
148,1,AT1G13150,4481875,4483751,-,AT1G13160,4484584,4488577,+,833,arabidopsis,23785,0.057519276,,,
149,1,AT1G13320,4563428,4567849,-,AT1G13330,4567935,4570598,+,86,arabidopsis,21240,-0.047711029,,,
150,1,AT1G13450,4612731,4615353,-,AT1G13460,4615767,4618449,+,414,arabidopsis,25026,0.308677627,,,
151,1,AT1G13580,4644521,4647142,-,AT1G13590,4647815,4649066,+,673,arabidopsis,12952,0.296615437,,,
152,1,AT1G13870,4747186,4748666,-,AT1G13880,4748831,4751234,+,165,arabidopsis,25319,0.307173917,,,
153,1,AT1G13900,4753099,4755656,-,AT1G13910,4755777,4758076,+,121,arabidopsis,23487,0.221840847,,,
154,1,AT1G14010,4800169,4801850,-,AT1G14020,4802720,4805375,+,870,arabidopsis,25153,0.240800229,,,
155,1,AT1G14140,4837927,4839633,-,AT1G14150,4839801,4840823,+,168,arabidopsis,23514,0.151574731,,,
156,1,AT1G14200,4854224,4855287,-,AT1G14205,4855533,4856762,+,246,arabidopsis,21470,-0.005351337,,,
157,1,AT1G14270,4874875,4877256,-,AT1G14280,4877506,4879307,+,250,arabidopsis,24371,0.54885997,,,
158,1,AT1G14300,4882336,4884818,-,AT1G14310,4884951,4886793,+,133,arabidopsis,23844,0.087361969,,,
159,1,AT1G14315,4886768,4887933,-,AT1G14320,4888114,4889704,+,181,arabidopsis,4307,0.30973549,,,
160,1,AT1G14420,4931485,4933662,-,AT1G14430,4934120,4936194,+,458,arabidopsis,8497,0.09317117,,,
161,1,AT1G14460,4948638,4953284,-,AT1G14470,4954037,4955702,+,753,arabidopsis,22743,0.291024058,,,
162,1,AT1G14490,4958445,4959529,-,AT1G14500,4960308,4961800,+,779,arabidopsis,7422,-0.075372408,,,
163,1,AT1G14660,5031943,5036610,-,AT1G14670,5037576,5040597,+,966,arabidopsis,23601,-0.194496807,,,
164,1,AT1G14686,5045641,5046893,-,AT1G14687,5047782,5048753,+,889,arabidopsis,14385,0.051488966,,,
165,1,AT1G14990,5166913,5168336,-,AT1G15000,5168464,5170066,+,128,arabidopsis,17520,0.063301399,,,
166,1,AT1G15060,5183258,5187106,-,AT1G15080,5187549,5189673,+,443,arabidopsis,21953,0.002831456,,,
167,1,AT1G15140,5210181,5212349,-,AT1G15150,5212475,5215042,+,126,arabidopsis,14213,0.123730284,,,
168,1,AT1G15165,5217719,5220113,-,AT1G15170,5220403,5222973,+,290,arabidopsis,21603,0.12547602,,,
169,1,AT1G15230,5242073,5243262,-,AT1G15240,5243383,5248693,+,121,arabidopsis,25618,0.011878332,,,
170,1,AT1G15250,5248664,5249676,-,AT1G15260,5249760,5250573,+,84,arabidopsis,24381,0.066129427,,,
171,1,AT1G15270,5250650,5252121,-,AT1G15280,5252285,5256863,+,164,arabidopsis,25740,-0.454039777,,,
172,1,AT1G15320,5272256,5274074,-,AT1G15330,5274271,5275602,+,197,arabidopsis,4900,0.135927004,,,
173,1,AT1G15420,5301516,5303522,-,AT1G15430,5304098,5306087,+,576,arabidopsis,25443,0.170361928,,,
174,1,AT1G15530,5339961,5341931,-,AT1G15540,5342090,5343876,+,159,arabidopsis,5039,0.068318033,,,
175,1,AT1G15700,5402569,5403818,-,AT1G15710,5404130,5405910,+,312,arabidopsis,5532,0.150185265,,,
176,1,AT1G15730,5407401,5410043,-,AT1G15740,5410908,5414919,+,865,arabidopsis,25195,0.138263634,,,
177,1,AT1G15800,5441072,5443911,-,AT1G15810,5444220,5446564,+,309,arabidopsis,24695,0.056004937,,,
178,1,AT1G15820,5446462,5447880,-,AT1G15830,5448060,5450617,+,180,arabidopsis,23937,0.38723425,,,
179,1,AT1G15880,5458398,5460359,-,AT1G15885,5460477,5461297,+,118,arabidopsis,18948,0.21592915,,,
180,1,AT1G15970,5486273,5489132,-,AT1G15980,5489145,5491363,+,13,arabidopsis,23034,0.037707804,,,
181,1,AT1G15990,5491133,5494192,-,AT1G16000,5494533,5495359,+,341,arabidopsis,14470,-0.041269046,,,
182,1,AT1G16010,5495373,5497723,-,AT1G16020,5498012,5501358,+,289,arabidopsis,24930,0.357380733,,,
183,1,AT1G16030,5501966,5504535,-,AT1G16040,5504608,5507059,+,73,arabidopsis,24415,0.353669285,,,
184,1,AT1G16070,5510301,5513980,-,AT1G16080,5514262,5516027,+,282,arabidopsis,21184,-0.12143687,,,
185,1,AT1G16170,5538666,5540002,-,AT1G16180,5540050,5542902,+,48,arabidopsis,25246,0.073380208,,,
186,1,AT1G16210,5546099,5547753,-,AT1G16220,5548262,5550770,+,509,arabidopsis,23023,-0.181195203,,,
187,1,AT1G16240,5554843,5556844,-,AT1G16250,5556964,5559520,+,120,arabidopsis,25211,0.137785796,,,
188,1,AT1G16260,5559498,5562192,-,AT1G16270,5562861,5568368,+,669,arabidopsis,23671,-0.096103412,,,
189,1,AT1G16290,5570753,5573958,-,AT1G16300,5574257,5577622,+,299,arabidopsis,4658,0.060899894,,,
190,1,AT1G16360,5593270,5595814,-,AT1G16370,5596633,5598447,+,819,arabidopsis,15877,0.085084667,,,
191,1,AT1G16420,5612150,5614020,-,AT1G16430,5614593,5615660,+,573,arabidopsis,17362,-0.001377993,,,
192,1,AT1G16460,5619545,5622674,-,AT1G16470,5622746,5625683,+,72,arabidopsis,25350,0.110933232,,,
193,1,AT1G16515,5647462,5648114,-,AT1G16520,5648636,5651167,+,522,arabidopsis,23145,-0.025712731,,,
194,1,AT1G16570,5670577,5673600,-,AT1G16590,5673707,5675143,+,107,arabidopsis,23466,0.390272635,,,
195,1,AT1G16730,5726368,5727406,-,AT1G16740,5727622,5729115,+,216,arabidopsis,22789,0.053028598,,,
196,1,AT1G16800,5744484,5755468,-,AT1G16810,5755588,5756895,+,120,arabidopsis,24458,-0.169110108,,,
197,1,AT1G16820,5756835,5758653,-,AT1G16825,5758855,5760509,+,202,arabidopsis,21641,0.333728112,,,
198,1,AT1G16870,5770732,5773322,-,AT1G16880,5773512,5776308,+,190,arabidopsis,24998,-0.140017447,,,
199,1,AT1G16920,5787150,5789312,-,AT1G16930,5789679,5791752,+,367,arabidopsis,23717,0.105908564,,,
200,1,AT1G17090,5842168,5844367,-,AT1G17100,5844646,5845661,+,279,arabidopsis,25021,-0.029470612,,,
201,1,AT1G17110,5845675,5850934,-,AT1G17120,5851860,5853987,+,926,arabidopsis,25607,0.230264887,,,
202,1,AT1G17210,5879996,5884773,-,AT1G17220,5885007,5890500,+,234,arabidopsis,25858,0.201613641,,,
203,1,AT1G17250,5901169,5903439,-,AT1G17260,5904058,5908898,+,619,arabidopsis,1474,-0.368883042,,,
204,1,AT1G17280,5916832,5920393,-,AT1G17285,5920542,5921483,+,149,arabidopsis,12993,0.050536561,,,
205,1,AT1G17310,5927925,5928833,-,AT1G17330,5929826,5931926,+,993,arabidopsis,12376,0.131041167,,,
206,1,AT1G17450,5988280,5997033,-,AT1G17455,5997057,5998599,+,24,arabidopsis,24454,-0.063041381,,,
207,1,AT1G17560,6037405,6038698,-,AT1G17580,6039250,6049685,+,552,arabidopsis,23437,-0.043848678,,,
208,1,AT1G17720,6093185,6098443,-,AT1G17730,6099039,6100397,+,596,arabidopsis,25735,0.107583317,,,
209,1,AT1G17850,6145926,6148940,-,AT1G17860,6149178,6150038,+,238,arabidopsis,16907,-0.124426838,,,
210,1,AT1G17960,6180865,6183806,-,AT1G17970,6184717,6187499,+,911,arabidopsis,16489,-0.079505528,,,
211,1,AT1G18150,6244298,6247830,-,AT1G18160,6248619,6254080,+,789,arabidopsis,25352,0.22124606,,,
212,1,AT1G18270,6283370,6293993,-,AT1G18280,6294160,6295372,+,167,arabidopsis,9473,0.079186307,,,
213,1,AT1G18310,6301200,6303956,-,AT1G18320,6304360,6305689,+,404,arabidopsis,2209,0.104874419,,,
214,1,AT1G18410,6336300,6342527,-,AT1G18420,6343330,6345689,+,803,arabidopsis,12289,0.42571466,,,
215,1,AT1G18550,6381441,6384587,-,AT1G18560,6385186,6388180,+,599,arabidopsis,23233,0.388287409,,,
216,1,AT1G19060,6582066,6583601,-,AT1G19080,6584241,6586517,+,640,arabidopsis,1483,-0.034186682,,,
217,1,AT1G19140,6610652,6612609,-,AT1G19150,6612630,6613972,+,21,arabidopsis,21689,0.021449961,,,
218,1,AT1G19330,6680423,6683559,-,AT1G19340,6684467,6687116,+,908,arabidopsis,22447,0.406792942,,,
219,1,AT1G19430,6724413,6728075,-,AT1G19440,6728747,6730931,+,672,arabidopsis,25409,0.346147167,,,
220,1,AT1G19570,6773302,6774523,-,AT1G19580,6774683,6777568,+,160,arabidopsis,25508,0.02000723,,,
221,1,AT1G19670,6803486,6805092,-,AT1G19680,6805430,6807862,+,338,arabidopsis,22567,0.018232698,,,
222,1,AT1G19730,6822847,6824071,-,AT1G19740,6824246,6825459,+,175,arabidopsis,25046,0.189865509,,,
223,1,AT1G19880,6900337,6904155,-,AT1G19890,6904963,6906028,+,808,arabidopsis,1447,-0.117021448,,,
224,1,AT1G19970,6931012,6932826,-,AT1G19980,6933015,6935053,+,189,arabidopsis,23154,0.337320958,,,
225,1,AT1G20100,6969025,6971036,-,AT1G20110,6971424,6975130,+,388,arabidopsis,26097,-0.035625937,,,
226,1,AT1G20225,7007756,7009380,-,AT1G20230,7009568,7012107,+,188,arabidopsis,24572,-0.240625018,,,
227,1,AT1G20270,7020664,7023162,-,AT1G20280,7023682,7024439,+,520,arabidopsis,1583,-0.189463475,,,
228,1,AT1G20340,7042046,7043392,-,AT1G20350,7043628,7044592,+,236,arabidopsis,22329,0.280121683,,,
229,1,AT1G20575,7126747,7128762,-,AT1G20580,7128867,7130799,+,105,arabidopsis,24979,0.270327881,,,
230,1,AT1G20750,7203302,7209013,-,AT1G20760,7209298,7214993,+,285,arabidopsis,3264,-0.182886778,,,
231,1,AT1G20770,7215010,7216897,-,AT1G20780,7217021,7220842,+,124,arabidopsis,25123,0.007589934,,,
232,1,AT1G20803,7231049,7231600,-,AT1G20810,7231981,7233657,+,381,arabidopsis,2392,-0.121933596,,,
233,1,AT1G21190,7419664,7420957,-,AT1G21200,7421148,7423673,+,191,arabidopsis,25073,0.101501776,,,
234,1,AT1G21550,7552987,7553975,-,AT1G21560,7554671,7557112,+,696,arabidopsis,22946,-0.218350379,,,
235,1,AT1G21700,7620001,7624166,-,AT1G21710,7624320,7626138,+,154,arabidopsis,24832,0.312191586,,,
